18.
SSSSS  -0.050 g              15:09:30
SSSSS  0.050 g              15:09:30
SSSSS  0.030 g              15:09:31
SSSSS  0.020 g              15:09:31
SSSSS  0.030 g              15:09:31
SSSSS  0.040 g              15:09:31
SSSSS  0.020 g              15:09:31
SSSSS  0.010 g              15:09:31
SSSSS  0.030 g              15:09:31
SSSSS  0.040 g              15:09:31
SSSSS  0.030 g              15:09:32
SSSSS  0.030 g              15:09:32
SSSSS  0.037 g              15:09:32
SSSSS  0.020 g              15:09:32
SSSSS  0.010 g              15:09:32
SSSSS  0.020 g              15:09:32
SSSSS  0.010 g              15:09:32
SSSSS  0.020 g              15:09:33
SSSSS  0.030 g              15:09:33
SSSSS  0.030 g              15:09:33
SSSSS  0.010 g              15:09:33
SSSSS  0.000 g              15:09:33
SSSSS  0.000 g              15:09:33
SSSSS  0.000 g              15:09:33
SSSSS  0.000 g              15:09:33
SSSSS  0.000 g              15:09:34
SSSSS  0.000 g              15:09:34
SSSSS  0.010 g              15:09:34
SSSSS  0.020 g              15:09:34
SSSSS  0.050 g              15:09:34
SSSSS  0.070 g              15:09:34
SSSSS  0.110 g              15:09:34
SSSSS  0.240 g              15:09:35
SSSSS  0.350 g              15:09:35
SSSSS  0.370 g              15:09:35
SSSSS  0.380 g              15:09:35
SSSSS  0.440 g              15:09:35
SSSSS  0.510 g              15:09:35
SSSSS  0.580 g              15:09:35
SSSSS  0.640 g              15:09:35
SSSSS  0.660 g              15:09:36
SSSSS  0.680 g              15:09:36
SSSSS  0.770 g              15:09:36
SSSSS  0.870 g              15:09:36
SSSSS  0.960 g              15:09:36
SSSSS  1.030 g              15:09:36
SSSSS  1.080 g              15:09:36
SSSSS  1.140 g              15:09:37
SSSSS  1.190 g              15:09:37
SSSSS  1.230 g              15:09:37
SSSSS  1.270 g              15:09:37
SSSSS  1.320 g              15:09:37
SSSSS  1.330 g              15:09:37
SSSSS  1.370 g              15:09:37
SSSSS  1.470 g              15:09:37
SSSSS  1.550 g              15:09:38
SSSSS  1.590 g              15:09:38
SSSSS  1.600 g              15:09:38
SSSSS  1.606 g              15:09:38
SSSSS  1.610 g              15:09:38
SSSSS  1.670 g              15:09:38
SSSSS  1.750 g              15:09:38
SSSSS  1.770 g              15:09:39
SSSSS  1.780 g              15:09:39
SSSSS  1.800 g              15:09:39
SSSSS  1.840 g              15:09:39
SSSSS  1.860 g              15:09:39
SSSSS  1.890 g              15:09:39
SSSSS  1.950 g              15:09:39
SSSSS  2.010 g              15:09:39
SSSSS  2.050 g              15:09:40
SSSSS  2.100 g              15:09:40
SSSSS  2.150 g              15:09:40
SSSSS  2.210 g              15:09:40
SSSSS  2.290 g              15:09:40
SSSSS  2.360 g              15:09:40
SSSSS  2.420 g              15:09:40
SSSSS  2.470 g              15:09:41
SSSSS  2.510 g              15:09:41
SSSSS  2.540 g              15:09:41
SSSSS  2.560 g              15:09:41
SSSSS  2.590 g              15:09:41
SSSSS  2.630 g              15:09:41
SSSSS  2.650 g              15:09:41
SSSSS  2.660 g              15:09:41
SSSSS  2.690 g              15:09:42
SSSSS  2.750 g              15:09:42
SSSSS  2.810 g              15:09:42
SSSSS  2.890 g              15:09:42
SSSSS  2.960 g              15:09:42
SSSSS  3.030 g              15:09:42
SSSSS  3.100 g              15:09:42
SSSSS  3.170 g              15:09:43
SSSSS  3.220 g              15:09:43
SSSSS  3.240 g              15:09:43
SSSSS  3.270 g              15:09:43
SSSSS  3.340 g              15:09:43
SSSSS  3.450 g              15:09:43
SSSSS  3.530 g              15:09:43
SSSSS  3.590 g              15:09:43
SSSSS  3.660 g              15:09:44
SSSSS  3.730 g              15:09:44
SSSSS  3.800 g              15:09:44
SSSSS  3.860 g              15:09:44
SSSSS  3.920 g              15:09:44
SSSSS  4.000 g              15:09:44
SSSSS  4.060 g              15:09:44
SSSSS  4.140 g              15:09:45
SSSSS  4.230 g              15:09:45
SSSSS  4.330 g              15:09:45
SSSSS  4.410 g              15:09:45
SSSSS  4.480 g              15:09:45
SSSSS  4.550 g              15:09:45
SSSSS  4.640 g              15:09:45
SSSSS  4.720 g              15:09:45
SSSSS  4.790 g              15:09:46
SSSSS  4.860 g              15:09:46
SSSSS  4.920 g              15:09:46
SSSSS  4.970 g              15:09:46
SSSSS  5.010 g              15:09:46
SSSSS  5.050 g              15:09:46
SSSSS  5.090 g              15:09:46
SSSSS  5.140 g              15:09:47
SSSSS  5.190 g              15:09:47
SSSSS  5.220 g              15:09:47
SSSSS  5.250 g              15:09:47
SSSSS  5.290 g              15:09:47
SSSSS  5.340 g              15:09:47
SSSSS  5.360 g              15:09:47
SSSSS  5.400 g              15:09:47
SSSSS  5.450 g              15:09:48
SSSSS  5.500 g              15:09:48
SSSSS  5.560 g              15:09:48
SSSSS  5.620 g              15:09:48
SSSSS  5.690 g              15:09:48
SSSSS  5.740 g              15:09:48
SSSSS  5.790 g              15:09:48
SSSSS  5.840 g              15:09:49
SSSSS  5.900 g              15:09:49
SSSSS  5.950 g              15:09:49
SSSSS  5.990 g              15:09:49
SSSSS  6.030 g              15:09:49
SSSSS  6.090 g              15:09:49
SSSSS  6.140 g              15:09:49
SSSSS  6.180 g              15:09:49
SSSSS  6.210 g              15:09:50
SSSSS  6.250 g              15:09:50
SSSSS  6.280 g              15:09:50
SSSSS  6.300 g              15:09:50
SSSSS  6.330 g              15:09:50
SSSSS  6.360 g              15:09:50
SSSSS  6.380 g              15:09:50
SSSSS  6.410 g              15:09:51
SSSSS  6.450 g              15:09:51
SSSSS  6.480 g              15:09:51
SSSSS  6.510 g              15:09:51
SSSSS  6.540 g              15:09:51
SSSSS  6.580 g              15:09:51
SSSSS  6.620 g              15:09:51
SSSSS  6.640 g              15:09:51
SSSSS  6.660 g              15:09:52
SSSSS  6.680 g              15:09:52
SSSSS  6.710 g              15:09:52
SSSSS  6.740 g              15:09:52
SSSSS  6.790 g              15:09:52
SSSSS  6.830 g              15:09:52
SSSSS  6.860 g              15:09:52
SSSSS  6.900 g              15:09:53
SSSSS  6.930 g              15:09:53
SSSSS  6.970 g              15:09:53
SSSSS  7.000 g              15:09:53
SSSSS  7.030 g              15:09:53
SSSSS  7.050 g              15:09:53
SSSSS  7.080 g              15:09:53
SSSSS  7.110 g              15:09:53
SSSSS  7.140 g              15:09:54
SSSSS  7.160 g              15:09:54
SSSSS  7.190 g              15:09:54
SSSSS  7.210 g              15:09:54
SSSSS  7.230 g              15:09:54
SSSSS  7.250 g              15:09:54
SSSSS  7.270 g              15:09:54
SSSSS  7.300 g              15:09:55
SSSSS  7.330 g              15:09:55
SSSSS  7.360 g              15:09:55
SSSSS  7.390 g              15:09:55
SSSSS  7.410 g              15:09:55
SSSSS  7.430 g              15:09:55
SSSSS  7.460 g              15:09:55
SSSSS  7.480 g              15:09:55
SSSSS  7.510 g              15:09:56
SSSSS  7.530 g              15:09:56
SSSSS  7.560 g              15:09:56
SSSSS  7.590 g              15:09:56
SSSSS  7.600 g              15:09:56
SSSSS  7.630 g              15:09:56
SSSSS  7.650 g              15:09:56
SSSSS  7.680 g              15:09:57
SSSSS  7.710 g              15:09:57
SSSSS  7.730 g              15:09:57
SSSSS  7.750 g              15:09:57
SSSSS  7.770 g              15:09:57
SSSSS  7.780 g              15:09:57
SSSSS  7.810 g              15:09:57
SSSSS  7.830 g              15:09:57
SSSSS  7.850 g              15:09:58
SSSSS  7.880 g              15:09:58
SSSSS  7.910 g              15:09:58
SSSSS  7.930 g              15:09:58
SSSSS  7.950 g              15:09:58
SSSSS  7.970 g              15:09:58
SSSSS  7.990 g              15:09:58
SSSSS  8.020 g              15:09:59
SSSSS  8.030 g              15:09:59
SSSSS  8.060 g              15:09:59
SSSSS  8.080 g              15:09:59
SSSSS  8.100 g              15:09:59
SSSSS  8.120 g              15:09:59
SSSSS  8.140 g              15:09:59
SSSSS  8.160 g              15:09:59
SSSSS  8.180 g              15:10:00
SSSSS  8.200 g              15:10:00
SSSSS  8.220 g              15:10:00
SSSSS  8.240 g              15:10:00
SSSSS  8.260 g              15:10:00
SSSSS  8.280 g              15:10:00
SSSSS  8.290 g              15:10:00
SSSSS  8.310 g              15:10:01
SSSSS  8.330 g              15:10:01
SSSSS  8.350 g              15:10:01
SSSSS  8.370 g              15:10:01
SSSSS  8.390 g              15:10:01
SSSSS  8.410 g              15:10:01
SSSSS  8.430 g              15:10:01
SSSSS  8.450 g              15:10:01
SSSSS  8.460 g              15:10:02
SSSSS  8.480 g              15:10:02
SSSSS  8.490 g              15:10:02
SSSSS  8.510 g              15:10:02
SSSSS  8.530 g              15:10:02
SSSSS  8.540 g              15:10:02
SSSSS  8.560 g              15:10:02
SSSSS  8.580 g              15:10:03
SSSSS  8.590 g              15:10:03
SSSSS  8.610 g              15:10:03
SSSSS  8.630 g              15:10:03
SSSSS  8.640 g              15:10:03
SSSSS  8.660 g              15:10:03
SSSSS  8.670 g              15:10:03
SSSSS  8.690 g              15:10:03
SSSSS  8.710 g              15:10:04
SSSSS  8.720 g              15:10:04
SSSSS  8.730 g              15:10:04
SSSSS  8.750 g              15:10:04
SSSSS  8.760 g              15:10:04
SSSSS  8.780 g              15:10:04
SSSSS  8.790 g              15:10:04
